Date;Total;PEA;BTC;Plus-value;Delta;PV du Jour;ESE;Flux (€);PF_Return_TWR;ESE_Return;PF_Index100;ESE_Index100;PF_Index100.1;ESE_Index100.1
17/02/2025;11088.0;9753.0;1164.0;1551.0;0.0;0.0;29,33;0;0,05%;-0,03%;100;100;0;0
18/02/2025;11093.0;9757.0;1166.0;1551.0;0.0;;29,32;0;0,52%;0,68%;100,05;99,97;0,05;-0,03
19/02/2025;11151.0;9802.0;1178.0;1551.0;0.0;;29,52;0;-0,88%;-1,15%;100,57;100,65;0,57;0,65
20/02/2025;11053.0;9695.0;1187.0;1453.0;-98.0;;29,18;0;-0,01%;0,00%;99,68;99,49;-0,32;-0,51
21/02/2025;11052.0;9683.0;1198.0;1452.0;-1.0;;29,18;0;-0,09%;0,00%;99,68;99,49;-0,32;-0,51
22/02/2025;11042.0;9700.0;1172.0;1442.0;-10.0;;29,18;0;0,00%;0,00%;99,59;99,49;-0,41;-0,51
23/02/2025;11042.0;9700.0;1172.0;1442.0;0.0;;29,18;0;-1,77%;-1,27%;99,59;99,49;-0,41;-0,51
24/02/2025;10846.0;9519.0;1157.0;1246.0;-196.0;;28,81;0;-1,93%;-1,84%;97,82;98,23;-2,18;-1,77
25/02/2025;10637.0;9555.0;1060.0;1037.0;-210.0;;28,28;0;0,97%;1,27%;95,93;96,42;-4,07;-3,58
26/02/2025;10740.0;9662.0;1055.0;1140.0;103.0;;28,64;0;-0,02%;0,28%;96,86;97,65;-3,14;-2,35
27/02/2025;10737.0;9667.0;1048.0;1137.0;-2.0;;28,72;0;-1,27%;-1,29%;96,84;97,92;-3,16;-2,08
28/02/2025;10601.0;9553.0;1026.0;1001.0;-136.0;;28,35;0;-0,41%;0,00%;95,61;96,66;-4,39;-3,34
01/03/2025;10607.0;9547.0;1038.0;1007.0;6.0;;28,35;50;0,00%;0,00%;95,21;96,66;-4,79;-3,34
02/03/2025;10607.0;9547.0;1038.0;1007.0;0.0;;28,35;0;0,96%;0,00%;95,21;96,66;-4,79;-3,34
03/03/2025;10709.0;9595.0;1092.0;1109.0;102.0;;28,35;0;-4,29%;-3,39%;96,13;96,66;-3,87;-3,34
04/03/2025;10249.0;9225.0;1002.0;649.0;-460.0;;27,39;0;-1,48%;-2,30%;92,00;93,39;-8,00;-6,61
05/03/2025;10098.0;9035.0;1041.0;498.0;-151.0;;26,76;0;0,27%;0,37%;90,64;91,24;-9,36;-8,76
06/03/2025;10125.0;9034.0;1069.0;525.0;27.0;;26,86;0;-2,17%;-2,08%;90,89;91,58;-9,11;-8,42
07/03/2025;9906.0;8843.0;1041.0;306.0;-220.0;;26,3;0;-0,52%;0,00%;88,92;89,67;-11,08;-10,33
08/03/2025;9854.0;8810.0;1022.0;254.0;-51.0;;26,3;0;0,00%;0,00%;88,46;89,67;-11,54;-10,33
